"Artifact Room #841055",21.8366,82.1472,0,0,293.15,2500
"Atmospherics",21.8366,82.1472,0,0,293.15,2500
"Engineering",21.8366,82.1472,0,0,293.15,10000
"The Ruskie DJ Station",21.8366,82.1472,0,0,293.15,5000
"The Ruskie DJ Station",21.8366,82.1472,0,0,293.15,5000
"Atmospherics",21.8366,82.1472,0,0,293.15,10000
"The Holodeck - Empty Court",21.8366,82.1472,0,0,293.15,125000
"Space",0,0,0,0,2.7,7500
"Fore Port Solar Maintenance",21.8366,82.1472,0,0,293.15,10000
"Space",0,0,0,0,2.7,20000
"The Library",21.8366,82.1472,0,0,293.15,2500
"Mine",0.01,0.01,0,0,2.7,22500
"The Locker Toilets",21.8366,82.1472,0,0,293.15,5000
"The Abandoned Ship",21.8366,82.1472,0,0,293.15,57500
"The Arrival Shuttle Hallway",21.8366,82.1472,0,0,293.15,5000
"Space",1.95312e-005,1.95312e-005,0,0,2.7,35000
"Primary Tool Storage",21.8244,82.1016,0,0,293.15,130000
"The Vault",21.8366,82.1472,0,0,293.15,5000
"The Syndicate War Sphere 3",21.8366,82.1472,0,0,293.15,227500
"The Cargo Bay",21.8366,82.1472,0,0,293.15,5000
"The Abandoned Ship",21.8366,82.1471,0,0,293.15,162500
"Space",0,0,0,0,2.7,22500
"The Thunderdome",21.8366,82.1472,0,0,293.15,2500
"The Robotics Assembly Line",21.8366,82.1472,0,0,293.15,2500
"The Firing Range",21.8366,82.1472,0,0,293.15,115000
"Space",1.95312e-005,1.95312e-005,0,0,2.7,2500
"The Fore Block",21.8366,82.1472,0,0,293.15,7500
"The Mining Shuttle",21.8366,82.1472,0,0,293.15,2500
"Mine",21.8366,82.1472,0,0,293.15,5000
"The Arrival Shuttle Hallway",21.8366,82.1472,0,0,293.15,25000
"The Telecoms Control Room",21.8366,82.1472,0,0,293.15,72500
"The Recharging Bay",21.8366,82.1472,0,0,293.15,10000
"Aft Port Solar Maintenance",0.01,0.01,0,0,2.7,10000
"The Emergency Shuttle Centcom",21.8366,82.1472,0,0,293.15,22500
"Space",0,0,0,0,2.7,10000
"Space",0,0,0,0,2.7,2500
"Cryogenics",21.8366,82.1472,0,0,293.15,2500
"Engineering",21.8198,82.0843,5.72644e-005,0,293.15,70000
"Engineering",21.8366,82.1472,0,0,293.15,7500
"The Centcom Emergency Shuttle",21.8366,82.1472,0,0,293.15,40000
"The Ruskie DJ Station",21.8366,82.1472,0,0,293.15,5000
"EVA Storage",21.8366,82.1472,0,0,293.15,5000
"The Bridge",21.8364,82.1472,0.000169919,0,293.15,205000
