"The Thunderdome",21.8366,82.1472,0,0,293.15,2500
"The Thunderdome",21.8366,82.1472,0,0,293.15,2500
"The Escape Shuttle Hallway",21.8366,82.1472,0,0,293.15,22500
"The Strange Location",21.8366,82.1472,0,0,293.15,25000
"Atmospherics",21.8366,82.1472,0,0,293.15,2500
"Engineering",21.8366,82.1472,0,0,293.15,10000
"The Thunderdome",21.8366,82.1472,0,0,293.15,2500
"The Brig",21.8366,82.1472,0,0,293.15,2500
"Abandoned Mining Station",0.0426496,0.160444,0,0,293.15,5000
"Space",0.0260036,0.0978018,0,0,179.736,262500
"The Brig",21.8366,82.1472,0,0,293.15,5000
"The Brig",21.8366,82.1472,0,0,293.15,5000
"Technical Storage",21.8366,82.1472,0,0,293.15,7500
